
======Show the result======
[10, '-', '-', -5, 270, 1, 'A320', '3U8448', 0, 0.00961538, 0, 0.00961538]
[11, '-', '-', -5, 295, 2, 'A320', 'CZ8474', 0, 0.01923077, 1, 0.02187627]
[12, 'A320', '3U8448', 270, 300, 1, 'A320', 'HX539', 0, 0.00961538, 1, 0.01226089]
[13, '-', '-', 40, 310, 4, 'B738', 'CA904', 0, 0.03846154, 1, 0.03846154]
[14, 'A320', 'HX539', 300, 330, 1, 'A320', 'BL662', 0, 0.00961538, 0, 0.00961538]
[15, 'A320', 'CZ8474', 295, 330, 2, 'A321', 'VN7206', 1, 0.01923077, 1, 0.02452177]
[16, '-', '-', -5, 345, 31, 'A321', 'VJ360', 1, 0.29807692, 3, 0.30865893]
[17, '-', '-', -5, 345, 3, 'A320', 'VJ370', 0, 0.02884615, 2, 0.03413716]
[18, '-', '-', -5, 345, 32, 'A321', 'QH202', 0, 0.30769231, 1, 0.31033781]
[19, '-', '-', -5, 350, 33, 'A321', 'VJ270', 0, 0.31730769, 1, 0.31995319]
[20, '-', '-', -5, 355, 34, 'AT72', '0V8003', 0, 0.32692308, 4, 0.33750509]
[21, '-', '-', -5, 355, 36, 'AT72', '0V8051', 0, 0.34615385, 3, 0.35409035]
[22, '-', '-', -5, 355, 37, 'AT72', '0V8061', 0, 0.35576923, 2, 0.36106024]
[23, '-', '-', -5, 355, 38, 'A320', 'VJ302', 0, 0.36538462, 1, 0.36803012]
[24, 'A320', 'BL662', 330, 360, 1, 'A321', 'VN110', 0, 0.00961538, 6, 0.00961538]
[25, 'A321', 'VN7206', 330, 360, 2, 'A320', 'VJ321', 0, 0.01923077, 5, 0.03245828]
[26, '-', '-', -5, 360, 40, 'A321', 'BL303', 0, 0.38461538, 4, 0.3951974]
[27, '-', '-', -5, 360, 41, 'A321', 'VN1180', 0, 0.39423077, 3, 0.40216728]
[28, '-', '-', -5, 360, 42, 'A321', 'VN208', 0, 0.40384615, 2, 0.40913716]
[29, '-', '-', -5, 360, 43, 'A321', 'BL740', 0, 0.41346154, 1, 0.41610704]
[30, '-', '-', -5, 365, 51, 'A320', 'VJ242', 0, 0.49038462, 2, 0.49567562]
[31, 'B738', 'CA903', 310, 365, 4, 'A350', 'VN302', 0, 0.03846154, 1, 0.04110704]
[32, 'A320', 'VJ370', 345, 375, 3, 'A320', 'VJ622', 0, 0.02884615, 4, 0.03942816]
[33, 'A321', 'VJ360', 345, 375, 31, 'A321', 'VN1821', 1, 0.29807692, 3, 0.30865893]
[34, 'A321', 'QH202', 345, 375, 32, 'A321', 'VN1370', 1, 0.30769231, 2, 0.31562882]
[35, '-', '-', -5, 375, 52, 'A320', 'VJ212', 1, 0.5, 1, 0.50529101]
[36, 'A321', 'VJ270', 350, 380, 33, 'A320', 'BL500', 1, 0.31730769, 2, 0.3252442]
[37, '-', '-', -5, 380, 53, 'A320', 'BL746', 1, 0.50961538, 1, 0.51490639]
[38, 'AT72', '0V8003', 355, 385, 34, 'A321', 'VN1262', 1, 0.32692308, 1, 0.33221408]
[39, 'A321', 'VN110', 360, 390, 1, 'A321', 'VJ206', 1, 0.00961538, 2, 0.01755189]
[40, 'A320', 'VJ321', 360, 390, 2, 'A321', 'VN212', 0, 0.01923077, 1, 0.00961538]
[41, 'AT72', '0V8061', 355, 395, 37, 'A321', 'VN7827', 0, 0.35576923, 2, 0.36106024]
[42, 'AT72', '0V8051', 355, 395, 36, 'A320', 'QH1152', 0, 0.34615385, 1, 0.34879935]
[43, 'A320', 'VJ302', 355, 400, 38, 'A320', 'BL442', 0, 0.36538462, 2, 0.37067562]
[44, 'A321', 'BL303', 360, 400, 40, 'A320', 'BL564', 0, 0.38461538, 1, 0.38726089]
[45, 'A321', 'VN1821', 375, 405, 31, 'A321', 'VN1340', 0, 0.29807692, 1, 0.29807692]
[46, 'A321', 'VN1370', 375, 415, 32, 'A321', 'VJ384', 0, 0.30769231, 1, 0.31033781]
[47, 'A321', 'VJ206', 390, 420, 1, 'A321', 'VN1380', 0, 0.00961538, 9, 0.03342491]
[48, 'A321', 'VN212', 390, 420, 2, 'AT72', '0V8053', 0, 0.01923077, 8, 0.04039479]
[49, 'A320', 'BL500', 380, 420, 33, 'A321', 'VN1400', 0, 0.31730769, 7, 0.33582621]
[50, 'A321', 'VN1262', 385, 420, 34, 'A321', 'VJ230', 0, 0.32692308, 6, 0.34279609]
[51, 'A320', 'VJ622', 375, 420, 3, 'A320', 'BL542', 0, 0.02884615, 5, 0.04207367]
[52, 'A321', 'VN1180', 360, 420, 41, 'A320', 'BL666', 0, 0.39423077, 4, 0.40481278]
[53, 'A321', 'VN208', 360, 420, 42, 'A321', 'QH210', 0, 0.40384615, 3, 0.41178266]
[54, 'A350', 'VN302', 365, 420, 4, 'A350', 'VN216', 0, 0.03846154, 2, 0.04375254]
[55, '-', '-', -5, 420, 8, 'B788', 'NH834', 0, 0.07692308, 1, 0.07956858]
[56, 'A321', 'VN7827', 395, 425, 37, 'A321', 'VN1392', 1, 0.35576923, 3, 0.36635124]
[57, 'A320', 'QH1152', 395, 425, 36, 'A320', 'QH1540', 2, 0.34615385, 2, 0.35673586]
[58, 'A321', 'BL740', 360, 425, 43, 'A321', 'VJ124', 2, 0.41346154, 1, 0.42139805]
[59, 'A320', 'BL442', 400, 430, 38, 'A320', 'BL111', 2, 0.36538462, 1, 0.37332112]
[60, 'A321', 'VN1340', 405, 440, 31, 'A320', 'BL748', 2, 0.29807692, 1, 0.30601343]
[61, 'A321', 'VJ384', 415, 445, 32, 'A320', 'VJ886', 2, 0.30769231, 2, 0.31827432]
[62, '-', '-', -5, 445, 5, 'A350', 'VN522', 0, 0.04807692, 1, 0.05072243]
[63, 'A321', 'VN1380', 420, 450, 1, 'A321', 'VN218', 0, 0.00961538, 1, 0.01226089]
[64, 'AT72', '0V8053', 420, 455, 2, 'A321', 'VJ306', 1, 0.01923077, 2, 0.02716728]
[66, 'A320', 'BL542', 420, 465, 3, 'A320', 'BL305', 1, 0.02884615, 0, 0.03149166]
[67, 'A320', 'BL748', 440, 475, 31, 'A321', 'VN1414', 1, 0.29807692, 1, 0.30336793]
[68, 'B787', 'JL79', 315, 480, 11, 'B787', 'JL750', 0, 0.10576923, 6, 0.12164225]
[69, 'A320', 'CZ6041', 340, 480, 54, 'A320', 'CZ368', 0, 0.51923077, 5, 0.53245828]
[70, 'A321', 'VN218', 450, 480, 1, 'A321', 'VN112', 0, 0.00961538, 4, 0.0201974]
[71, 'A320', 'VJ886', 445, 480, 32, 'A320', 'VJ274', 0, 0.30769231, 3, 0.31562882]
[72, 'A350', 'VN216', 420, 480, 4, 'B787', 'VN220', 0, 0.03846154, 2, 0.04375254]
[73, 'B788', 'NH834', 420, 480, 8, 'B738', 'MF8006', 0, 0.07692308, 1, 0.07956858]
[74, 'A321', 'VJ306', 455, 485, 2, 'A320', 'BL342', 1, 0.01923077, 2, 0.02716728]
[75, 'A321', 'VN1400', 420, 485, 33, 'A320', 'VJ893', 2, 0.31730769, 1, 0.3252442]
[76, 'A321', 'VJ230', 420, 495, 34, 'A321', 'VJ844', 2, 0.32692308, 1, 0.33485958]
[77, 'A320', 'BL305', 465, 500, 3, 'AT72', 'K6809', 2, 0.02884615, 1, 0.03678266]
[78, 'A321', 'VN112', 480, 510, 1, 'A321', 'VN114', 2, 0.00961538, 5, 0.0281339]
[79, 'A321', 'VN1414', 475, 510, 31, 'AT72', '0V8055', 0, 0.29807692, 4, 0.30865893]
[80, 'A320', 'VJ274', 480, 510, 32, 'A321', 'VN224', 0, 0.30769231, 3, 0.31562882]
