--------Result---------------
[10, '-', '-', -5, 270, 3, 'A320', '3U8448', 0.08048048048048048, 0.08048048048048048]
[11, '-', '-', -5, 295, 8, 'A320', 'CZ8474', 0.07791278673631616, 0.07791278673631614]
[12, '-', '-', -5, 300, 36, 'A320', 'HX539', 0.1442519984773506, 0.1442519984773506]
[13, 'B738', 'CA903', 1480, 310, 8, 'B738', 'CA904', 0.052702702702702706, 0.0527027027027027]
[14, '-', '-', -5, 330, 9, 'A320', 'BL662', 0.052702702702702706, 0.0527027027027027]
[15, '-', '-', -5, 330, 1, 'A321', 'VN7206', 0.052702702702702706, 0.052702702702702706]
[16, 'B738', 'CA903', 310, 345, 8, 'A321', 'VJ360', 0.052702702702702706, 0.0527027027027027]
[17, 'A320', '3U8448', 270, 345, 3, 'A320', 'VJ370', 0.052702702702702706, 0.052702702702702706]
[18, '-', '-', -5, 345, 2, 'A321', 'QH202', 0.052702702702702706, 0.052702702702702706]
[19, '-', '-', -5, 350, 31, 'A321', 'VJ270', 0.052702702702702706, 0.052702702702702706]
[20, '-', '-', -5, 355, 15, 'AT72', '0V8003', 0.052702702702702706, 0.052702702702702706]
[21, '-', '-', -5, 355, 16, 'AT72', '0V8051', 0.052702702702702706, 0.052702702702702706]
[22, '-', '-', -5, 355, 17, 'AT72', '0V8061', 0.052702702702702706, 0.052702702702702706]
[23, 'A320', 'HX539', 300, 355, 36, 'A320', 'VJ302', 0.052702702702702706, 0.052702702702702706]
[24, '-', '-', -5, 360, 32, 'A321', 'VN110', 0.052702702702702706, 0.052702702702702706]
[25, '-', '-', -5, 360, 55, 'A320', 'VJ321', 0.052702702702702706, 0.052702702702702706]
[26, '-', '-', -5, 360, 33, 'A321', 'BL303', 0.052702702702702706, 0.052702702702702706]
[27, '-', '-', -5, 360, 34, 'A321', 'VN1180', 0.052702702702702706, 0.052702702702702706]
[28, '-', '-', -5, 360, 37, 'A321', 'VN208', 0.052702702702702706, 0.052702702702702706]
[29, '-', '-', -5, 360, 38, 'A321', 'BL740', 0.052702702702702706, 0.052702702702702706]
[30, 'A320', 'BL662', 330, 365, 9, 'A320', 'VJ242', 0.052702702702702706, 0.0527027027027027]
[31, '-', '-', -5, 365, 4, 'A350', 'VN302', 0.12897388914338068, 0.12897388914338068]
[32, '-', '-', -5, 375, 56, 'A320', 'VJ622', 0.052702702702702706, 0.052702702702702706]
[33, 'A321', 'VN7206', 330, 375, 1, 'A321', 'VN1821', 0.052702702702702706, 0.052702702702702706]
[34, '-', '-', -5, 375, 40, 'A321', 'VN1370', 0.052702702702702706, 0.052702702702702706]
[35, '-', '-', -5, 375, 57, 'A320', 'VJ212', 0.052702702702702706, 0.052702702702702706]
[36, 'A321', 'VJ360', 345, 380, 8, 'A320', 'BL500', 0.052702702702702706, 0.0527027027027027]
[37, 'A320', 'VJ370', 345, 380, 3, 'A320', 'BL746', 0.052702702702702706, 0.052702702702702706]
[38, 'A321', 'QH202', 345, 385, 2, 'A321', 'VN1262', 0.052702702702702706, 0.052702702702702706]
[39, 'A321', 'VJ270', 350, 390, 31, 'A321', 'VJ206', 0.052702702702702706, 0.052702702702702706]
[40, '-', '-', -5, 390, 41, 'A321', 'VN212', 0.052702702702702706, 0.052702702702702706]
[41, 'A321', 'VN110', 360, 395, 32, 'A321', 'VN7827', 0.052702702702702706, 0.052702702702702706]
[42, 'A320', 'VJ302', 355, 395, 36, 'A320', 'QH1152', 0.052702702702702706, 0.052702702702702706]
[43, 'A320', 'VJ242', 365, 400, 9, 'A320', 'BL442', 0.052702702702702706, 0.0527027027027027]
[44, 'A320', 'VJ321', 360, 400, 55, 'A320', 'BL564', 0.052702702702702706, 0.052702702702702706]
[45, 'A321', 'BL303', 360, 405, 33, 'A321', 'VN1340', 0.052702702702702706, 0.052702702702702706]
[46, 'A320', 'BL500', 380, 415, 8, 'A321', 'VJ384', 0.052702702702702706, 0.0527027027027027]
[47, 'A321', 'VN1262', 385, 420, 2, 'A321', 'VN1380', 0.052702702702702706, 0.052702702702702706]
[48, 'AT72', '0V8003', 355, 420, 15, 'AT72', '0V8053', 0.052702702702702706, 0.052702702702702706]
[49, 'A321', 'VN1180', 360, 420, 34, 'A321', 'VN1400', 0.052702702702702706, 0.052702702702702706]
[50, 'A321', 'VN208', 360, 420, 37, 'A321', 'VJ230', 0.052702702702702706, 0.052702702702702706]
[51, 'A320', 'BL746', 380, 420, 3, 'A320', 'BL542', 0.052702702702702706, 0.052702702702702706]
[52, 'A320', 'VJ622', 375, 420, 56, 'A320', 'BL666', 0.052702702702702706, 0.052702702702702706]
[53, 'A321', 'BL740', 360, 420, 38, 'A321', 'QH210', 0.052702702702702706, 0.052702702702702706]
[54, 'A350', 'VN302', 365, 420, 4, 'A350', 'VN216', 0.052702702702702706, 0.052702702702702706]
[55, 'AT72', '0V8051', 355, 420, 16, 'B788', 'NH834', 0.18603603603603602, 0.18603603603603602]
[56, 'A321', 'VJ206', 390, 425, 31, 'A321', 'VN1392', 0.052702702702702706, 0.052702702702702706]
[57, 'A320', 'VJ212', 375, 425, 57, 'A320', 'QH1540', 0.052702702702702706, 0.052702702702702706]
[58, 'A321', 'VN212', 390, 425, 41, 'A321', 'VJ124', 0.052702702702702706, 0.052702702702702706]
[59, 'A320', 'QH1152', 395, 430, 36, 'A320', 'BL111', 0.17913948431189813, 0.17913948431189813]
[60, 'A320', 'BL442', 400, 440, 9, 'A320', 'BL748', 0.052702702702702706, 0.0527027027027027]
[61, '-', '-', -5, 445, 58, 'A320', 'VJ886', 0.21725966472801916, 0.21725966472801916]
[62, '-', '-', -5, 445, 5, 'A350', 'VN522', 0.11849217638691323, 0.11849217638691323]
[63, 'A321', 'VJ384', 415, 450, 8, 'A321', 'VN218', 0.052702702702702706, 0.0527027027027027]
[64, 'A321', 'VJ647', 415, 455, 1, 'A321', 'VJ306', 0.052702702702702706, 0.052702702702702706]
[65, 'A330', 'LD561', 385, 455, 18, 'A330', 'LD561', 0.052702702702702706, 0.052702702702702706]
[66, 'A320', 'BL542', 420, 465, 3, 'A320', 'BL305', 0.052702702702702706, 0.052702702702702706]
[67, 'A320', 'BL748', 440, 475, 9, 'A321', 'VN1414', 0.052702702702702706, 0.0527027027027027]
[68, 'A321', 'VN1392', 425, 480, 31, 'A321', 'VN112', 0.052702702702702706, 0.052702702702702706]
